YEAR MO DY HR MN   Hs   Tp   Dp    Depth   Ta    Pres   Wspd Wdir Temp   Temp  Cspd Cdir P
      UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2008 08 07 16 24  0.88  6.67  53           4.84                                          1
2008 08 07 16 54  0.82  7.69  53           4.84                           29.0           1
2008 08 07 17 24  0.82  9.09  56           4.96                           29.0           1
2008 08 07 17 54  0.80  7.14  55           4.92                           29.0           1
2008 08 07 18 24  0.77  6.67  53           4.68                           29.0           1
2008 08 07 18 54  0.80  6.25  52           4.87                           29.0           1
2008 08 07 19 24  0.74  7.14  56           4.82                           29.0           1
2008 08 07 19 54  0.78  6.25  52           4.63                           29.0           1
2008 08 07 20 24  0.80  8.33  53           4.31                           29.0           1
2008 08 07 20 54  0.82  7.14  52           4.25                           29.0           1
2008 08 07 21 24  0.84  5.88  50           4.28                           29.0           1
2008 08 07 21 54  0.83  5.88  50           4.19                           29.0           1
2008 08 07 22 24  0.89  8.33  53           4.32                           29.0           1
2008 08 07 22 54  0.86  7.69  55           4.41                           29.0           1
2008 08 07 23 24  0.83  6.25  53           4.31                           29.0           1
2008 08 07 23 54  0.83  7.69  55           4.31                           29.0           1
2008 08 08 00 24  0.81  8.33  56           4.24                           29.0           1
2008 08 08 00 54  0.84  7.14  53           4.26                           28.9           1
2008 08 08 01 24  0.87  8.33  53           4.20                           28.9           1
2008 08 08 01 54  0.87  7.14  53           4.24                           28.9           1
2008 08 08 02 24  0.85  7.69  52           4.10                           28.8           1
2008 08 08 02 54  0.87  8.33  52           4.08                           28.9           1
2008 08 08 03 24  0.86  8.33  53           4.19                           28.8           1
2008 08 08 03 54  0.87  8.33  55           4.30                           28.9           1
2008 08 08 04 24  0.85  8.33  52           4.28                           29.0           1
2008 08 08 04 54  0.85  8.33  52           4.36                           29.0           1
2008 08 08 05 24  0.86  7.69  55           4.39                           28.8           1
2008 08 08 05 54  0.85  8.33  55           4.41                           28.9           1
2008 08 08 06 24  0.84  8.33  55           4.56                           28.9           1
2008 08 08 06 54  0.85  8.33  53           4.38                           28.8           1
2008 08 08 07 24  0.83  8.33  55           4.48                           28.8           1
